ストーリー	場所	時代	タイトル	内容	緯度	経度	ストーリー	写真等	注記	出典			
	日本橋	江戸	「東海道五十三次之内」 「江戸日本橋之図」	-			-	https://jpsearch.go.jp/item/arc_nishikie-NDL_187_00_001	-	http://www.dh-jac.net/db/nishikie/NDL-187-00-001/portal/	35.68268	139.7733	http://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/kokkai/rarebook.ndl.go.jp/pre/th_image/gazou/W0000010/w0000187/w0000000/w0000001.jpg
	日本橋	江戸	「東京三十六景」「日本橋御高礼」	-			-	https://jpsearch.go.jp/item/arc_nishikie-0421_C134	-	http://www.dh-jac.net/db/nishikie/0421-C134/portal/	35.68268	139.7733	https://data.ukiyo-e.org/metro/scaled/0421-C134.jpg
	日本橋	江戸	「全盛四季春 荏原郡原村 立春梅園」 「日本橋菊次」	-			-	https://jpsearch.go.jp/item/arc_nishikie-0511_C012c	-	http://www.dh-jac.net/db/nishikie/0511-C012c/portal/	35.68268	139.7733	https://data.ukiyo-e.org/metro/scaled/0511-C012c.jpg
	日本橋	江戸	「東京名所 郵便局 江戸橋圖」	-			-	https://jpsearch.go.jp/item/arc_nishikie-0421_C133	-	http://www.dh-jac.net/db/nishikie/0421-C133/portal/	35.68268	139.7733	https://data.ukiyo-e.org/metro/scaled/0421-C076(03).jpg
	日本橋	江戸	無題	-			-	https://jpsearch.go.jp/item/arc_nishikie-0421_C076Nr030a	-	http://www.dh-jac.net/db/nishikie/0421-C076(03)/portal/	35.68268	139.7733	https://data.ukiyo-e.org/metro/scaled/0422-C026.jpg
	日本橋	江戸	「東京名所圖繪」「海運橋第一國立銀行」	-			-	https://jpsearch.go.jp/item/arc_nishikie-0421_C028	-	http://www.dh-jac.net/db/nishikie/0421-C028/portal/	35.68268	139.7733	https://data.ukiyo-e.org/metro/scaled/0421-C028.jpg
	日本橋	江戸	「東京名所圖繪」「江戸はし驛逓局」	-			-	https://jpsearch.go.jp/item/arc_nishikie-0421_C029a	-	http://www.dh-jac.net/db/nishikie/0421-C029a/portal/	35.68268	139.7733	https://data.ukiyo-e.org/metro/scaled/0421-C029a.jpg
	日本橋	江戸	「東★（者偏に邑）八景之内」「HIYAOO GOKU NO HANAVI」	-			-	https://jpsearch.go.jp/item/arc_nishikie-0421_C078	-	http://www.dh-jac.net/db/nishikie/0421-C078/portal/	35.68268	139.7733	https://data.ukiyo-e.org/metro/scaled/0421-C078.jpg
	日本橋	江戸	「東京自慢名物會 都圓中」「草津亭 割烹」「新富町 香川ひで 加藤ひで」「見立模様團子坂の菊形」	-			-	https://jpsearch.go.jp/item/arc_nishikie-016_C003_001	-	http://www.dh-jac.net/db/nishikie/016-C003-001/portal/	35.68268	139.7733	https://data.ukiyo-e.org/metro/scaled/016-C003-001.jpg
	日本橋	江戸	「東都名所」「鉄炮洲明石橋之景」 「御運上所」	-			-	https://jpsearch.go.jp/item/arc_nishikie-0422_C029	-	http://www.dh-jac.net/db/nishikie/0422-C029/portal/	35.68268	139.7733	https://data.ukiyo-e.org/metro/scaled/0422-C029.jpg
	日本橋	江戸	「東京名勝之内」「京橋煉瓦石造」	-			-	https://jpsearch.go.jp/item/arc_nishikie-0422_C026	-	http://www.dh-jac.net/db/nishikie/0422-C026/portal/	35.68268	139.7733	https://data.ukiyo-e.org/metro/scaled/0422-C026.jpg
	日本橋	江戸	「東京名所圖曾」「尾張町日々新聞日報社」	-			-	https://jpsearch.go.jp/item/arc_nishikie-0422_C006	-	http://www.dh-jac.net/db/nishikie/0422-C006/portal/	35.68268	139.7733	https://data.ukiyo-e.org/metro/scaled/0422-C006.jpg
	場所	時代	タイトル	-			-	ジャパンサーチ上のURL	-	オリジナルURL	緯度	経度	画像URL
	品川	江戸	品川遊女図	-			-	https://jpsearch.go.jp/item/cobas-47894	-	https://colbase.nich.go.jp/collectionItems/view/12f08f3c06a62af80737925634848303/19766	35.61741	139.7396	https://colbase.nich.go.jp/uploads/collection_item_images/thumbnail/ab36cfac35b01812380b0101a4f33707.jpg
	品川	江戸	品川遊女図	-			-	https://jpsearch.go.jp/item/cobas-47977	-	https://colbase.nich.go.jp/collectionItems/view/12f08f3c06a62af80737925634848303/19857	35.61741	139.7396	https://colbase.nich.go.jp/uploads/collection_item_images/thumbnail/3fe61a762d11a6c5d473cdda470656a8.jpg
	品川	江戸	品川座敷の遊興	-			-	https://jpsearch.go.jp/item/cobas-49399	-	https://colbase.nich.go.jp/collectionItems/view/12f08f3c06a62af80737925634848303/22131	35.61741	139.7396	https://colbase.nich.go.jp/uploads/collection_item_images/thumbnail/90574238f75b0e5652549e08e3151e12.jpg
	品川	江戸	「品川沖」 「品川沖」	-			-	https://jpsearch.go.jp/item/arc_nishikie-0511_K003	-	http://www.dh-jac.net/db/nishikie/0511-K003/portal/	35.61741	139.7396	https://data.ukiyo-e.org/metro/scaled/0511-K003.jpg
	品川	江戸	「品川」	-			-	https://jpsearch.go.jp/item/arc_nishikie-LOC00385	-	http://www.dh-jac.net/db/nishikie/LOC00385/portal/	35.61741	139.7396	http://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/kokkai/rarebook.ndl.go.jp/pre/th_image/gazou/W0000011/w0000446/w0000000/w0000011.jpg
	品川	江戸	「東海道」 「品川」	-			-	https://jpsearch.go.jp/item/arc_nishikie-NDL_446_00_011	-	http://www.dh-jac.net/db/nishikie/NDL-446-00-011/portal/	35.61741	139.7396	http://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/kokkai/rarebook.ndl.go.jp/pre/th_image/gazou/W0000011/w0000446/w0000000/w0000011.jpg
	品川	江戸	[品川妓楼]	-			-	https://jpsearch.go.jp/item/arc_nishikie-kuni80_1600	-	http://www.dh-jac.net/db/nishikie/kuni80-1600/portal/	35.61741	139.7396	http://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/kunitachi/80/80-1600.jpg
	品川	江戸	「(品川納涼図)」	-			-	https://jpsearch.go.jp/item/arc_nishikie-BN03828711_2_20	-	http://www.dh-jac.net/db/nishikie/BN03828711-2-20/portal/	35.61741	139.7396	http://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/zuroku/BN03828711/BN03828711-2-20.jpg
	品川	江戸	「品川 月の姿見」	-			-	https://jpsearch.go.jp/item/arc_nishikie-NDL_9369201_129	-	http://www.dh-jac.net/db/nishikie/NDL-9369201_129/portal/	35.61741	139.7396	http://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/kokkai/dl.ndl.go.jp/info:ndljp/pid/9369201/digidepo_9369201_129.jpg
	品川	江戸	「品川海上眺望圖」	-			-	https://jpsearch.go.jp/item/arc_nishikie-0511_C058	-	http://www.dh-jac.net/db/nishikie/0511-C058/portal/	35.61741	139.7396	https://data.ukiyo-e.org/metro/scaled/0511-C058.jpg
	品川	江戸	（「品川海上眺望図」）	-			-	https://jpsearch.go.jp/item/arc_nishikie-BN03828992_2_17_2	-	http://www.dh-jac.net/db/nishikie/BN03828992-2-17-2/portal/	35.61741	139.7396	http://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/zuroku/BN03828992/BN03828992-2-17-2.jpg
	品川	江戸	「末廣五十三次」「品川」	-			-	https://jpsearch.go.jp/item/arc_nishikie-061_C001_002	-	http://www.dh-jac.net/db/nishikie/061-C001-002/portal/	35.61741	139.7396	https://data.ukiyo-e.org/metro/scaled/061-C001-002.jpg
	品川	江戸	「日本湊尽」 「東都品川」	-			-	https://jpsearch.go.jp/item/arc_nishikie-MET_DP121546	-	http://www.dh-jac.net/db/nishikie/MET-DP121546/portal/	35.61741	139.7396	https://images.metmuseum.org/CRDImages/as/web-thumb/DP121546.jpg
	品川	江戸	「江戸名所」 「品川の月」	-			-	https://jpsearch.go.jp/item/arc_nishikie-MFA_21_10110	-	http://www.dh-jac.net/db/nishikie/MFA-21.10110/portal/	35.61741	139.7396	http://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/Boston/Prints/SC/SC134867.jpg
	品川	江戸	「雙筆五十三次 品川」	-			-	https://jpsearch.go.jp/item/arc_nishikie-061_C002_002	-	http://www.dh-jac.net/db/nishikie/061-C002-002/portal/	35.61741	139.7396	https://data.ukiyo-e.org/metro/scaled/061-C002-002.jpg
	品川	江戸	「江戸名所」「品川汐干狩」	-			-	https://jpsearch.go.jp/item/arc_nishikie-0511_C006	-	http://www.dh-jac.net/db/nishikie/0511-C006/portal/	35.61741	139.7396	https://data.ukiyo-e.org/metro/scaled/0511-C006.jpg
	品川	江戸	「東海道五十三対」 「品川」	-			-	https://jpsearch.go.jp/item/arc_nishikie-NDL_1313229	-	http://www.dh-jac.net/db/nishikie/NDL-1313229/portal/	35.61741	139.7396	http://dl.ndl.go.jp/titleThumb/info:ndljp/pid/1313229
	品川	江戸	「東海道五十三対」 「品川」	-			-	https://jpsearch.go.jp/item/arc_nishikie-MFA_11_25031	-	http://www.dh-jac.net/db/nishikie/MFA-11.25031/portal/	35.61741	139.7396	http://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/Boston/Prints/SC/SC167093.jpg
	品川	江戸	「東海道五十三駅」 「品川」	-			-	https://jpsearch.go.jp/item/arc_nishikie-NDL_445_00_002	-	http://www.dh-jac.net/db/nishikie/NDL-445-00-002/portal/	35.61741	139.7396	http://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/kokkai/rarebook.ndl.go.jp/pre/th_image/gazou/W0000011/w0000445/w0000000/w0000002.jpg
	品川	江戸	「江戸名＃品川海晏寺紅葉見」 「江戸名所」「品川海晏寺紅葉見」	-			-	https://jpsearch.go.jp/item/arc_nishikie-3556_C010	-	http://www.dh-jac.net/db/nishikie/3556-C010/portal/	35.61741	139.7396	https://data.ukiyo-e.org/metro/scaled/3556-C010.jpg
	品川	江戸	「勝景雪月花」 「東都 品川の雪」	-			-	https://jpsearch.go.jp/item/arc_nishikie-MFA_21_9232	-	http://www.dh-jac.net/db/nishikie/MFA-21.9232/portal/	35.61741	139.7396	http://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/Boston/Prints/SC/SC146064.jpg
	品川	江戸	「名所江戸百景」 「品川すさき」	-			-	https://jpsearch.go.jp/item/arc_nishikie-NDL_124_03_011	-	http://www.dh-jac.net/db/nishikie/NDL-124-03-011/portal/	35.61741	139.7396	http://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/kokkai/rarebook.ndl.go.jp/pre/th_image/gazou/W0000008/w0000124/w0000003/w0000011.jpg
	品川	江戸	「東海道」 「二」「五十三次之内」「品川」	-			-	https://jpsearch.go.jp/item/arc_nishikie-MFA_06_1617	-	http://www.dh-jac.net/db/nishikie/MFA-06.1617/portal/	35.61741	139.7396	http://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/Boston/Prints/SC/SC151083.jpg
	品川	江戸	「東海道五十三次之内」 「品川」「二」	-			-	https://jpsearch.go.jp/item/arc_nishikie-CortazziU42	-	http://www.dh-jac.net/db/nishikie/CortazziU42/portal/	35.61741	139.7396	http://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/SISJAC/Cortazzi/Prints/CortazziU42.jpg
	品川	江戸	「江戸自慢三十六興」 「品川 海苔」	-			-	https://jpsearch.go.jp/item/arc_nishikie-0511_C016	-	http://www.dh-jac.net/db/nishikie/0511-C016/portal/	35.61741	139.7396	https://data.ukiyo-e.org/metro/scaled/0511-C016.jpg
	品川	江戸	「東京名勝図会」 「品川沖の黒船」	-			-	https://jpsearch.go.jp/item/arc_nishikie-Z0173_177	-	http://www.dh-jac.net/db/nishikie/Z0173-177/portal/	35.61741	139.7396	http://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/zuroku/Z0173/Z0173-177.jpg
	品川	江戸	「東海道五十三次図会」 「品川」「大森」	-			-	https://jpsearch.go.jp/item/arc_nishikie-MFA_21_8725	-	http://www.dh-jac.net/db/nishikie/MFA-21.8725/portal/	35.61741	139.7396	http://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/Boston/Prints/SC/SC143930.jpg
	品川	江戸	「名所江戸百景」 「南品川鮫洲海岸」	-			-	https://jpsearch.go.jp/item/arc_nishikie-NDL_125_02_051	-	http://www.dh-jac.net/db/nishikie/NDL-125-02-051/portal/	35.61741	139.7396	http://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/kokkai/rarebook.ndl.go.jp/pre/th_image/gazou/W0000009/w0000125/w0000002/w0000051.jpg
	品川	江戸	「名所江戸百景」 「南品川鮫洲海岸」	-			-	https://jpsearch.go.jp/item/arc_nishikie-BM_1906_1220_1007	-	http://www.dh-jac.net/db/nishikie/BM-1906_1220_1007/portal/	35.61741	139.7396	http://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/BM/Prints/LOAN%20COLLECTION1/BM-1906_12-20_1007.jpg
	品川	江戸	「東都名所」 「御殿山花見品川全図」	-			-	https://jpsearch.go.jp/item/arc_nishikie-NDL_140_00_002	-	http://www.dh-jac.net/db/nishikie/NDL-140-00-002/portal/	35.61741	139.7396	http://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/kokkai/rarebook.ndl.go.jp/pre/th_image/gazou/W0000009/w0000140/w0000000/w0000002.jpg
	品川	江戸	「東海道五拾三次之内」 「品川」「日之出」	-			-	https://jpsearch.go.jp/item/arc_nishikie-BM_1906_1220_0768	-	http://www.dh-jac.net/db/nishikie/BM-1906_1220_0768/portal/	35.61741	139.7396	http://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/BM/Prints/MTD98/BM-1906_12-20_0768.jpg
	品川	江戸	「東京名勝図会」 「品川八ツ山下鉄道」	-			-	https://jpsearch.go.jp/item/arc_nishikie-H_22_1_3_83	-	http://www.dh-jac.net/db/nishikie/H-22-1-3-83/portal/	35.61741	139.7396	http://www.rekihaku.ac.jp/GAZO/nishikie/shiryou/133731534599/036.jpg
	品川	江戸	「東都名所図」 「御殿山花見品川全図」	-			-	https://jpsearch.go.jp/item/arc_nishikie-NDL_529_00_018	-	http://www.dh-jac.net/db/nishikie/NDL-529-00-018/portal/	35.61741	139.7396	http://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/kokkai/rarebook.ndl.go.jp/pre/th_image/gazou/W0000014/w0000529/w0000000/w0000018.jpg
	品川	江戸	「東海道五拾三次之内」 「品川」「諸侯出立」	-			-	https://jpsearch.go.jp/item/arc_nishikie-BM_1906_1220_0767	-	http://www.dh-jac.net/db/nishikie/BM-1906_1220_0767/portal/	35.61741	139.7396	http://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/BM/Prints/MTD98/BM-1906_12-20_0767.jpg
	品川	江戸	「（狂歌入東海道）東海道五拾三次」 「品川」	-			-	https://jpsearch.go.jp/item/arc_nishikie-MFA_06_1702	-	http://www.dh-jac.net/db/nishikie/MFA-06.1702/portal/	35.61741	139.7396	http://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/Boston/Prints/SC/SC163517.jpg
	品川	江戸	「葉うた虎之巻」 「夕すゞみ...」「廿五」「品川屋」	-			-	https://jpsearch.go.jp/item/arc_nishikie-kuniS60_0162	-	http://www.dh-jac.net/db/nishikie/kuniS60-0162/portal/	35.61741	139.7396	http://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/kunitachi/80/S60-0162.jpg
	品川	江戸	五十三次の内 品川（収載資料名：東錦絵）	-			-	https://jpsearch.go.jp/item/arc_nishikie-NDL_1307732	-	http://www.dh-jac.net/db/nishikie/NDL-1307732/portal/	35.61741	139.7396	http://dl.ndl.go.jp/titleThumb/info:ndljp/pid/1307732
	品川	江戸	「東海道日本橋品川間 高輪 由良之助」	-			-	https://jpsearch.go.jp/item/arc_nishikie-N054_035	-	http://www.dh-jac.net/db/nishikie/N054-035/portal/	35.61741	139.7396	https://data.ukiyo-e.org/metro/scaled/N054-035.jpg
	品川	江戸	「冨嶽三十六景」 「東海道品川御殿山ノ不二」	-			-	https://jpsearch.go.jp/item/arc_nishikie-BM_1906_1220_0546	-	http://www.dh-jac.net/db/nishikie/BM-1906_1220_0546/portal/	35.61741	139.7396	http://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/BM/Prints/MTD81A/BM-1906_12-20_0546.jpg
	品川	江戸	「東海道五十三次之内 品川川崎間六合渡シ 白井権八」	-			-	https://jpsearch.go.jp/item/arc_nishikie-N212_001	-	http://www.dh-jac.net/db/nishikie/N212-001/portal/	35.61741	139.7396	https://data.ukiyo-e.org/metro/scaled/N212-001.jpg
	品川	江戸	「東都名所坂つくし之内」 「品川大井八景坂 鎧掛松」	-			-	https://jpsearch.go.jp/item/arc_nishikie-BM_1934_1013_0026	-	http://www.dh-jac.net/db/nishikie/BM-1934_1013_0026/portal/	35.61741	139.7396	http://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/BM/Prints/MTD104/BM-1934_10-13_0026.jpg
	品川	江戸	「五十三次の内 品川」 「肴屋吉五郎」「平右衛門女房お北」	-			-	https://jpsearch.go.jp/item/arc_nishikie-MFA_11_40775	-	http://www.dh-jac.net/db/nishikie/MFA-11.40775/portal/	35.61741	139.7396	http://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/Boston/Prints/SC/SC168578.jpg
	品川	江戸	「五十三次名所図会」「二」 「品川 御殿山より駅中を見る」	-			-	https://jpsearch.go.jp/item/arc_nishikie-LOC01293	-	http://www.dh-jac.net/db/nishikie/LOC01293/portal/	35.61741	139.7396	http://lapis.nichibun.ac.jp/image?did=14&pic=0&fid=01293r.jpg
	品川	江戸	「東京鉄炮洲新島原全盛之図」	-			-	https://jpsearch.go.jp/item/arc_nishikie-MMS330_02	-	http://www.dh-jac.net/db/nishikie/MMS330_02/portal/	35.61741	139.7396	http://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/marega/MMS/MMS330_02.jpg
